Category,Function Name,Arguments,Result Type,Explanation,Examples
,,,,,"Days([Estimated # of days]) converts the numeric value in the Estimated # of days field into a duration expressed in days. The number doesn't change, just the data type."
Special,Dbid,(),Text,Returns a Text value containing the database ID of a table.,"Dbid() in this database returns ""6ewwzuuj"""
Text,Ends,"(Text u, Text v)",Boolean,"Returns true if the text u ends with the text v, otherwise returns false.","Ends(""abcdef"", ""cd"") returns false"
,,,,,"Ends(""abcdef"", ""cdef"") returns true"
Numbers,Exp,(Number n),Number,"Returns e raised to the nth power, where e is approximately 2.71828182845905 This exponential function is for use in logarithmic calculations that track growth. For example, you can use it to figure compounding interest.","Exp(2) returns 7.389056 (which is e, or 2.71828182845905, to the 2nd power)"
,,,,,
,,,,,Exp(5) returns 148.413159 (e to the 5th power)
Text,Find,"(Text str, Text searchString)",Numeric,"Returns the index where searchString starts to appear in str. If not found, returns 0.","Example: Find(""Hello World"", ""Wo"") returns 7"
,,,,,"Find(""Hello World"", ""H"") returns 1"
,,,,,"Find(""Hello World"", ""X"") returns 0"
Dates,FirstDayOfMonth,(Date d),Date,Returns the first day of the month in which the date falls.,FirstDayOfMonth([Order Date]) returns the first day of the month in which the Order Date occurs.
,,,,,
,,,,,FirstDayOfMonth(Today()) returns the first day of the current month.
Dates,FirstDayOfPeriod,"(Date d, Duration p, Date r)",Date,"Returns the first day of the period in which the date d falls. The cycle of periods is defined by the given Duration p, repeated in sequence starting at the given reference date r. If the period p is not a whole number of days, the fractional part is ignored.",Useful for handling biweekly pay periods.
,,,,,
,,,,,"FirstDayOfPeriod([date field], Weeks(2), Date(2000,5,1)) returns the date that is the start of the two week period in which the date in the date field falls. The initial two week period that starts the cycle begins on May 1, 2000."
,,,,,
,,,,,
,,,,,"FirstDayOfPeriod(Today(), Days(365), Date(2005,7,1)) returns the date July 1st of the current year-long period. Between 7/1/06 and 7/1/07 this would be July 1, 2006. (As the years go on, this method won't account for leap years.)"
Dates,FirstDayOfWeek,(Date d),Date,Returns the first day (Sunday) of the week in which the date falls.,FirstDayOfWeek([Start Date]) returns the date of the Sunday (first day of the week) in which the Start Date occurs.
,,,,,"FirstDayOfWeek(ToDate(""7/30/2007"")) returns the date 7-29-07"
Dates,FirstDayOfYear,(Date d),Date,Returns the first day of the year in which the date falls.,FirstDayOfYear([Termination Date]) returns the first day of the year in which the Termination date occurs.
,,,,,
,,,,,FirstDayOfYear(Today()) returns the first day of the current year.
Rounding and Truncating,Floor,(Number x),Number,"Returns the largest integer less than or equal to the number x. Note that if x is a negative fraction, the result is closer to negative infinity than x is (compare to function Int).",Floor(3) returns 3
,,,,,Floor(3.4) returns 3
,,,,,Floor (3.8) returns 3
,,,,,Floor(-3.4) returns -4
Rounding and Truncating,Floor,"(Number x, Number y)",Number,Returns the largest multiple of y which is less than or equal to x.,"Floor(3.5, 2) returns 2"
,,,,,"Floor(-3.5, 2) returns -4"
